Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/StructureDefinition-VA.MHV.bloodOxygenSat.json	7461	23	0	0	0	0	0	537	0	473	0	0	1	0	0	0	0	2	0	0	1108	2975	0	0	0	22	1	2
fsh-generated/resources/StructureDefinition-VA.MHV.bloodPressure.json	8784	43	0	0	0	0	0	680	0	791	0	0	1	0	0	0	0	2	0	0	1942	2806	0	0	0	36	1	2
fsh-generated/resources/StructureDefinition-VA.MHV.bloodSugar.json	8539	72	1	0	0	0	0	326	0	425	0	0	1	0	0	0	0	1	0	0	1239	2003	0	0	0	26	1	1
fsh-generated/resources/StructureDefinition-VA.MHV.bodyTemperature.json	6700	22	0	0	0	0	0	423	1	380	0	0	1	0	0	0	0	2	0	0	1103	2499	0	0	0	17	0	2
fsh-generated/resources/StructureDefinition-VA.MHV.bodyWeight.json	6421	39	0	0	0	0	0	394	0	362	0	0	1	0	0	0	0	1	0	0	1074	2256	0	0	0	17	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.familymemberhistory.json	14578	68	0	0	0	0	0	251	0	240	0	0	1	0	0	0	0	1	0	0	1158	3350	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.heartRate.json	6518	34	0	0	0	0	0	370	0	384	0	0	1	0	0	0	0	1	0	0	1849	1456	0	0	1	16	1	1
fsh-generated/resources/StructureDefinition-VA.MHV.immunization.json	8285	47	1	0	0	0	0	292	0	283	0	0	1	0	0	0	0	1	0	0	2396	1981	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.medication.json	4732	21	0	0	0	0	0	241	0	206	0	0	1	0	0	0	0	1	0	0	1072	1771	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-VA.MHV.pain.json	7895	25	0	0	0	0	0	333	0	411	0	0	1	0	0	0	0	1	0	0	2069	1757	0	0	0	19	1	1
fsh-generated/resources/StructureDefinition-VA.MHV.respirationRate.json	6560	25	0	0	0	0	0	363	0	497	0	0	0	0	0	0	0	2	0	0	1209	2840	0	0	0	27	0	1
fsh-generated/resources/ValueSet-AgesVS.json	396	3	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	38	33662	0	1	0	1	0	0
fsh-generated/resources/ValueSet-AllAppIdCodes.json	510	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	35	447	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mhv-blood-pressure-positions.json	953	4	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	44	404	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mhv-blood-sugar-methods-sites.json	918	4	1	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	37	455	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mhv-body-temperature-sites.json	1332	6	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	45	431	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mhv-body-temperatures.json	689	4	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	35	317	0	0	0	1	0	0
fsh-generated/resources/ValueSet-mhv-body-weights.json	693	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	45	275	0	0	0	0	0	0
fsh-generated/resources/ValueSet-mhv-medication-routes.json	1079	5	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	46	453	0	0	0	0	0	0
